areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-05-03,884,20805557,504,19254961,380,1550596
nation,England,E92000001,2023-05-02,1582,20804673,961,19254457,621,1550216
nation,England,E92000001,2023-05-01,1577,20803091,957,19253496,620,1549595
nation,England,E92000001,2023-04-30,1202,20801514,791,19252539,411,1548975
nation,England,E92000001,2023-04-29,1182,20800312,736,19251748,446,1548564
nation,England,E92000001,2023-04-28,1329,20799130,881,19251012,448,1548118
nation,England,E92000001,2023-04-27,1474,20797801,942,19250131,532,1547670
nation,England,E92000001,2023-04-26,1549,20796327,956,19249189,593,1547138
nation,England,E92000001,2023-04-25,1593,20794778,974,19248233,619,1546545
nation,England,E92000001,2023-04-24,1704,20793185,1028,19247259,676,1545926
nation,England,E92000001,2023-04-23,1424,20791481,860,19246231,564,1545250
nation,England,E92000001,2023-04-22,1189,20790057,767,19245371,422,1544686
nation,England,E92000001,2023-04-21,1337,20788868,873,19244604,464,1544264
nation,England,E92000001,2023-04-20,1486,20787531,982,19243731,504,1543800
nation,England,E92000001,2023-04-19,1698,20786045,1081,19242749,617,1543296
nation,England,E92000001,2023-04-18,1800,20784347,1141,19241668,659,1542679
nation,England,E92000001,2023-04-17,2058,20782547,1311,19240527,747,1542020
nation,England,E92000001,2023-04-16,1782,20780489,1117,19239216,665,1541273
nation,England,E92000001,2023-04-15,1270,20778707,790,19238099,480,1540608
nation,England,E92000001,2023-04-14,1555,20777437,1004,19237309,551,1540128
nation,England,E92000001,2023-04-13,1878,20775882,1226,19236305,652,1539577
nation,England,E92000001,2023-04-12,2056,20774004,1328,19235079,728,1538925
nation,England,E92000001,2023-04-11,2281,20771948,1475,19233751,806,1538197
nation,England,E92000001,2023-04-10,2135,20769667,1341,19232276,794,1537391
nation,England,E92000001,2023-04-09,1642,20767532,1098,19230935,544,1536597
nation,England,E92000001,2023-04-08,1528,20765890,1006,19229837,522,1536053
nation,England,E92000001,2023-04-07,1597,20764362,1057,19228831,540,1535531
nation,England,E92000001,2023-04-06,1959,20762765,1288,19227774,671,1534991
nation,England,E92000001,2023-04-05,2235,20760806,1421,19226486,814,1534320
nation,England,E92000001,2023-04-04,2186,20758571,1437,19225065,749,1533506
nation,England,E92000001,2023-04-03,2456,20756385,1562,19223628,894,1532757
nation,England,E92000001,2023-04-02,2249,20753929,1418,19222066,831,1531863
nation,England,E92000001,2023-04-01,2081,20751680,1338,19220648,743,1531032
nation,England,E92000001,2023-03-31,2504,20749599,1597,19219310,907,1530289
nation,England,E92000001,2023-03-30,3047,20747095,1940,19217713,1107,1529382
nation,England,E92000001,2023-03-29,3434,20744048,2111,19215773,1323,1528275
nation,England,E92000001,2023-03-28,3591,20740614,2216,19213662,1375,1526952
nation,England,E92000001,2023-03-27,3920,20737023,2346,19211446,1574,1525577
nation,England,E92000001,2023-03-26,3153,20733103,1880,19209100,1273,1524003
nation,England,E92000001,2023-03-25,2752,20729950,1715,19207220,1037,1522730
nation,England,E92000001,2023-03-24,3738,20727198,2310,19205505,1428,1521693
nation,England,E92000001,2023-03-23,3964,20723460,2375,19203195,1589,1520265
nation,England,E92000001,2023-03-22,4323,20719496,2616,19200820,1707,1518676
nation,England,E92000001,2023-03-21,4748,20715173,2882,19198204,1866,1516969
nation,England,E92000001,2023-03-20,4727,20710425,2789,19195322,1938,1515103
nation,England,E92000001,2023-03-19,3681,20705698,2176,19192533,1505,1513165
