areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Northern Ireland,N92000002,2023-04-07,0,5234
nation,Northern Ireland,N92000002,2023-04-06,3,5234
nation,Northern Ireland,N92000002,2023-04-05,1,5231
nation,Northern Ireland,N92000002,2023-04-04,1,5230
nation,Northern Ireland,N92000002,2023-04-03,0,5229
nation,Northern Ireland,N92000002,2023-04-02,2,5229
nation,Northern Ireland,N92000002,2023-04-01,0,5227
nation,Northern Ireland,N92000002,2023-03-31,2,5227
nation,Northern Ireland,N92000002,2023-03-30,2,5225
nation,Northern Ireland,N92000002,2023-03-29,3,5223
nation,Northern Ireland,N92000002,2023-03-28,1,5220
nation,Northern Ireland,N92000002,2023-03-27,2,5219
nation,Northern Ireland,N92000002,2023-03-26,2,5217
nation,Northern Ireland,N92000002,2023-03-25,3,5215
nation,Northern Ireland,N92000002,2023-03-24,2,5212
nation,Northern Ireland,N92000002,2023-03-23,0,5210
nation,Northern Ireland,N92000002,2023-03-22,0,5210
nation,Northern Ireland,N92000002,2023-03-21,1,5210
nation,Northern Ireland,N92000002,2023-03-20,0,5209
nation,Northern Ireland,N92000002,2023-03-19,2,5209
nation,Northern Ireland,N92000002,2023-03-18,2,5207
nation,Northern Ireland,N92000002,2023-03-17,0,5205
nation,Northern Ireland,N92000002,2023-03-16,0,5205
nation,Northern Ireland,N92000002,2023-03-15,0,5205
nation,Northern Ireland,N92000002,2023-03-14,2,5205
nation,Northern Ireland,N92000002,2023-03-13,0,5203
nation,Northern Ireland,N92000002,2023-03-12,5,5203
nation,Northern Ireland,N92000002,2023-03-11,0,5198
nation,Northern Ireland,N92000002,2023-03-10,1,5198
nation,Northern Ireland,N92000002,2023-03-09,0,5197
nation,Northern Ireland,N92000002,2023-03-08,1,5197
nation,Northern Ireland,N92000002,2023-03-07,1,5196
nation,Northern Ireland,N92000002,2023-03-06,1,5195
nation,Northern Ireland,N92000002,2023-03-05,1,5194
nation,Northern Ireland,N92000002,2023-03-04,2,5193
nation,Northern Ireland,N92000002,2023-03-03,1,5191
nation,Northern Ireland,N92000002,2023-03-02,0,5190
nation,Northern Ireland,N92000002,2023-03-01,3,5190
nation,Northern Ireland,N92000002,2023-02-28,0,5187
nation,Northern Ireland,N92000002,2023-02-27,1,5187
nation,Northern Ireland,N92000002,2023-02-26,1,5186
nation,Northern Ireland,N92000002,2023-02-25,2,5185
nation,Northern Ireland,N92000002,2023-02-24,0,5183
nation,Northern Ireland,N92000002,2023-02-23,3,5183
nation,Northern Ireland,N92000002,2023-02-22,2,5180
nation,Northern Ireland,N92000002,2023-02-21,1,5178
nation,Northern Ireland,N92000002,2023-02-20,0,5177
nation,Northern Ireland,N92000002,2023-02-19,0,5177
nation,Northern Ireland,N92000002,2023-02-18,3,5177
nation,Northern Ireland,N92000002,2023-02-17,1,5174
nation,Northern Ireland,N92000002,2023-02-16,0,5173
nation,Northern Ireland,N92000002,2023-02-15,0,5173
nation,Northern Ireland,N92000002,2023-02-14,2,5173
nation,Northern Ireland,N92000002,2023-02-13,0,5171
nation,Northern Ireland,N92000002,2023-02-12,2,5171
nation,Northern Ireland,N92000002,2023-02-11,1,5169
nation,Northern Ireland,N92000002,2023-02-10,1,5168
nation,Northern Ireland,N92000002,2023-02-09,3,5167
nation,Northern Ireland,N92000002,2023-02-08,2,5164
nation,Northern Ireland,N92000002,2023-02-07,1,5162
nation,Northern Ireland,N92000002,2023-02-06,1,5161
nation,Northern Ireland,N92000002,2023-02-05,1,5160
nation,Northern Ireland,N92000002,2023-02-04,4,5159
nation,Northern Ireland,N92000002,2023-02-03,6,5155
nation,Northern Ireland,N92000002,2023-02-02,2,5149
nation,Northern Ireland,N92000002,2023-02-01,1,5147
nation,Northern Ireland,N92000002,2023-01-31,2,5146
nation,Northern Ireland,N92000002,2023-01-30,0,5144
nation,Northern Ireland,N92000002,2023-01-29,2,5144
nation,Northern Ireland,N92000002,2023-01-28,2,5142
nation,Northern Ireland,N92000002,2023-01-27,3,5140
nation,Northern Ireland,N92000002,2023-01-26,4,5137
nation,Northern Ireland,N92000002,2023-01-25,3,5133
nation,Northern Ireland,N92000002,2023-01-24,3,5130
nation,Northern Ireland,N92000002,2023-01-23,5,5127
nation,Northern Ireland,N92000002,2023-01-22,0,5122
nation,Northern Ireland,N92000002,2023-01-21,3,5122
nation,Northern Ireland,N92000002,2023-01-20,3,5119
nation,Northern Ireland,N92000002,2023-01-19,3,5116
nation,Northern Ireland,N92000002,2023-01-18,3,5113
nation,Northern Ireland,N92000002,2023-01-17,1,5110
nation,Northern Ireland,N92000002,2023-01-16,2,5109
nation,Northern Ireland,N92000002,2023-01-15,4,5107
nation,Northern Ireland,N92000002,2023-01-14,3,5103
nation,Northern Ireland,N92000002,2023-01-13,2,5100
nation,Northern Ireland,N92000002,2023-01-12,6,5098
nation,Northern Ireland,N92000002,2023-01-11,3,5092
nation,Northern Ireland,N92000002,2023-01-10,2,5089
nation,Northern Ireland,N92000002,2023-01-09,3,5087
nation,Northern Ireland,N92000002,2023-01-08,3,5084
nation,Northern Ireland,N92000002,2023-01-07,3,5081
nation,Northern Ireland,N92000002,2023-01-06,7,5078
nation,Northern Ireland,N92000002,2023-01-05,6,5071
nation,Northern Ireland,N92000002,2023-01-04,0,5065
