areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Wales,W92000004,2023-04-07,5,11653
nation,Wales,W92000004,2023-04-06,1,11648
nation,Wales,W92000004,2023-04-05,5,11647
nation,Wales,W92000004,2023-04-04,7,11642
nation,Wales,W92000004,2023-04-03,1,11635
nation,Wales,W92000004,2023-04-02,4,11634
nation,Wales,W92000004,2023-04-01,5,11630
nation,Wales,W92000004,2023-03-31,1,11625
nation,Wales,W92000004,2023-03-30,5,11624
nation,Wales,W92000004,2023-03-29,4,11619
nation,Wales,W92000004,2023-03-28,3,11615
nation,Wales,W92000004,2023-03-27,4,11612
nation,Wales,W92000004,2023-03-26,8,11608
nation,Wales,W92000004,2023-03-25,5,11600
nation,Wales,W92000004,2023-03-24,3,11595
nation,Wales,W92000004,2023-03-23,6,11592
nation,Wales,W92000004,2023-03-22,5,11586
nation,Wales,W92000004,2023-03-21,6,11581
nation,Wales,W92000004,2023-03-20,7,11575
nation,Wales,W92000004,2023-03-19,7,11568
nation,Wales,W92000004,2023-03-18,5,11561
nation,Wales,W92000004,2023-03-17,6,11556
nation,Wales,W92000004,2023-03-16,9,11550
nation,Wales,W92000004,2023-03-15,7,11541
nation,Wales,W92000004,2023-03-14,4,11534
nation,Wales,W92000004,2023-03-13,5,11530
nation,Wales,W92000004,2023-03-12,3,11525
nation,Wales,W92000004,2023-03-11,5,11522
nation,Wales,W92000004,2023-03-10,9,11517
nation,Wales,W92000004,2023-03-09,9,11508
nation,Wales,W92000004,2023-03-08,4,11499
nation,Wales,W92000004,2023-03-07,7,11495
nation,Wales,W92000004,2023-03-06,2,11488
nation,Wales,W92000004,2023-03-05,4,11486
nation,Wales,W92000004,2023-03-04,4,11482
nation,Wales,W92000004,2023-03-03,5,11478
nation,Wales,W92000004,2023-03-02,3,11473
nation,Wales,W92000004,2023-03-01,2,11470
nation,Wales,W92000004,2023-02-28,1,11468
nation,Wales,W92000004,2023-02-27,2,11467
nation,Wales,W92000004,2023-02-26,0,11465
nation,Wales,W92000004,2023-02-25,3,11465
nation,Wales,W92000004,2023-02-24,3,11462
nation,Wales,W92000004,2023-02-23,1,11459
nation,Wales,W92000004,2023-02-22,1,11458
nation,Wales,W92000004,2023-02-21,1,11457
nation,Wales,W92000004,2023-02-20,1,11456
nation,Wales,W92000004,2023-02-19,4,11455
nation,Wales,W92000004,2023-02-18,4,11451
nation,Wales,W92000004,2023-02-17,0,11447
nation,Wales,W92000004,2023-02-16,2,11447
nation,Wales,W92000004,2023-02-15,5,11445
nation,Wales,W92000004,2023-02-14,1,11440
nation,Wales,W92000004,2023-02-13,2,11439
nation,Wales,W92000004,2023-02-12,1,11437
nation,Wales,W92000004,2023-02-11,0,11436
nation,Wales,W92000004,2023-02-10,1,11436
nation,Wales,W92000004,2023-02-09,3,11435
nation,Wales,W92000004,2023-02-08,1,11432
nation,Wales,W92000004,2023-02-07,2,11431
nation,Wales,W92000004,2023-02-06,3,11429
nation,Wales,W92000004,2023-02-05,1,11426
nation,Wales,W92000004,2023-02-04,2,11425
nation,Wales,W92000004,2023-02-03,2,11423
nation,Wales,W92000004,2023-02-02,0,11421
nation,Wales,W92000004,2023-02-01,4,11421
nation,Wales,W92000004,2023-01-31,1,11417
nation,Wales,W92000004,2023-01-30,2,11416
nation,Wales,W92000004,2023-01-29,6,11414
nation,Wales,W92000004,2023-01-28,6,11408
nation,Wales,W92000004,2023-01-27,3,11402
nation,Wales,W92000004,2023-01-26,1,11399
nation,Wales,W92000004,2023-01-25,3,11398
nation,Wales,W92000004,2023-01-24,3,11395
nation,Wales,W92000004,2023-01-23,5,11392
nation,Wales,W92000004,2023-01-22,2,11387
nation,Wales,W92000004,2023-01-21,0,11385
nation,Wales,W92000004,2023-01-20,6,11385
nation,Wales,W92000004,2023-01-19,2,11379
nation,Wales,W92000004,2023-01-18,4,11377
nation,Wales,W92000004,2023-01-17,8,11373
nation,Wales,W92000004,2023-01-16,7,11365
nation,Wales,W92000004,2023-01-15,9,11358
nation,Wales,W92000004,2023-01-14,7,11349
nation,Wales,W92000004,2023-01-13,12,11342
nation,Wales,W92000004,2023-01-12,5,11330
nation,Wales,W92000004,2023-01-11,3,11325
nation,Wales,W92000004,2023-01-10,15,11322
nation,Wales,W92000004,2023-01-09,5,11307
nation,Wales,W92000004,2023-01-08,7,11302
nation,Wales,W92000004,2023-01-07,5,11295
nation,Wales,W92000004,2023-01-06,7,11290
nation,Wales,W92000004,2023-01-05,10,11283
nation,Wales,W92000004,2023-01-04,8,11273
nation,Wales,W92000004,2023-01-03,8,11265
nation,Wales,W92000004,2023-01-02,7,11257
nation,Wales,W92000004,2023-01-01,9,11250
nation,Wales,W92000004,2022-12-31,11,11241
nation,Wales,W92000004,2022-12-30,10,11230
nation,Wales,W92000004,2022-12-29,13,11220
nation,Wales,W92000004,2022-12-28,7,11207
nation,Wales,W92000004,2022-12-27,9,11200
nation,Wales,W92000004,2022-12-26,9,11191
