areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
nation,England,E92000001,2023-04-02,16,45417090,30,42951064,,33906503
nation,England,E92000001,2023-04-01,167,45417074,293,42951034,2,33906503
nation,England,E92000001,2023-03-31,118,45416907,214,42950741,5,33906501
nation,England,E92000001,2023-03-30,52,45416789,79,42950527,2,33906496
nation,England,E92000001,2023-03-29,101,45416737,165,42950448,5,33906494
nation,England,E92000001,2023-03-28,82,45416636,146,42950283,1,33906489
nation,England,E92000001,2023-03-27,174,45416554,248,42950137,36,33906488
nation,England,E92000001,2023-03-26,50,45416380,140,42949889,1,33906452
nation,England,E92000001,2023-03-25,337,45416330,671,42949749,7,33906451
nation,England,E92000001,2023-03-24,123,45415993,234,42949078,4,33906444
nation,England,E92000001,2023-03-23,125,45415870,204,42948844,5,33906440
nation,England,E92000001,2023-03-22,134,45415745,204,42948640,9,33906435
nation,England,E92000001,2023-03-21,112,45415611,198,42948436,4,33906426
nation,England,E92000001,2023-03-20,220,45415499,337,42948238,-66,33906422
nation,England,E92000001,2023-03-19,46,45415279,114,42947901,4,33906488
nation,England,E92000001,2023-03-18,355,45415233,817,42947787,14,33906484
nation,England,E92000001,2023-03-17,198,45414878,293,42946970,11,33906470
nation,England,E92000001,2023-03-16,152,45414680,287,42946677,10,33906459
nation,England,E92000001,2023-03-15,183,45414528,332,42946390,12,33906449
nation,England,E92000001,2023-03-14,150,45414345,187,42946058,42,33906437
nation,England,E92000001,2023-03-13,229,45414195,389,42945871,73,33906395
nation,England,E92000001,2023-03-12,107,45413966,217,42945482,22,33906322
nation,England,E92000001,2023-03-11,420,45413859,852,42945265,7,33906300
nation,England,E92000001,2023-03-10,201,45413439,332,42944413,2,33906293
nation,England,E92000001,2023-03-09,134,45413238,221,42944081,18,33906291
nation,England,E92000001,2023-03-08,173,45413104,253,42943860,47,33906273
nation,England,E92000001,2023-03-07,110,45412931,173,42943607,10,33906226
nation,England,E92000001,2023-03-06,505,45412821,590,42943434,176,33906216
nation,England,E92000001,2023-03-05,68,45412316,176,42942844,14,33906040
nation,England,E92000001,2023-03-04,502,45412248,1099,42942668,14,33906026
nation,England,E92000001,2023-03-03,225,45411746,372,42941569,10,33906012
nation,England,E92000001,2023-03-02,156,45411521,316,42941197,27,33906002
nation,England,E92000001,2023-03-01,238,45411365,292,42940881,6,33905975
nation,England,E92000001,2023-02-28,247,45411127,217,42940589,23,33905969
nation,England,E92000001,2023-02-27,174,45410880,231,42940372,26,33905946
nation,England,E92000001,2023-02-26,267,45410706,493,42940141,169,33905920
nation,England,E92000001,2023-02-25,550,45410439,1420,42939648,45,33905751
nation,England,E92000001,2023-02-24,271,45409889,497,42938228,27,33905706
nation,England,E92000001,2023-02-23,236,45409618,436,42937731,29,33905679
nation,England,E92000001,2023-02-22,181,45409382,333,42937295,43,33905650
nation,England,E92000001,2023-02-21,185,45409201,234,42936962,32,33905607
nation,England,E92000001,2023-02-20,285,45409016,461,42936728,111,33905575
nation,England,E92000001,2023-02-19,96,45408731,212,42936267,18,33905464
nation,England,E92000001,2023-02-18,629,45408635,1670,42936055,117,33905446
nation,England,E92000001,2023-02-17,375,45408006,845,42934385,90,33905329
