areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
nation,Northern Ireland,N92000002,2023-05-03,71,1430638,39,1360824,4583,1613585
nation,Northern Ireland,N92000002,2023-05-02,3,1430567,0,1360785,2650,1609002
nation,Northern Ireland,N92000002,2023-05-01,1,1430564,3,1360785,349,1606352
nation,Northern Ireland,N92000002,2023-04-30,9,1430563,13,1360782,171,1606003
nation,Northern Ireland,N92000002,2023-04-29,3,1430554,7,1360769,0,1605832
nation,Northern Ireland,N92000002,2023-04-28,100,1430551,37,1360762,424,1605832
nation,Northern Ireland,N92000002,2023-04-27,68,1430451,5,1360725,524376,1605408
nation,Northern Ireland,N92000002,2023-04-26,42,1430383,14,1360720,6406,1081032
nation,Northern Ireland,N92000002,2023-04-25,3,1430341,10,1360706,5394,1074626
nation,Northern Ireland,N92000002,2023-04-24,2,1430338,3,1360696,2417,1069232
nation,Northern Ireland,N92000002,2023-04-23,0,1430336,3,1360693,243,1066815
nation,Northern Ireland,N92000002,2023-04-22,10,1430336,16,1360690,2076,1066572
nation,Northern Ireland,N92000002,2023-04-21,1,1430326,4,1360674,2091,1064496
nation,Northern Ireland,N92000002,2023-04-20,2,1430325,2,1360670,9096,1062405
nation,Northern Ireland,N92000002,2023-04-19,1,1430323,1,1360668,3793,1053309
nation,Northern Ireland,N92000002,2023-04-18,6,1430322,1,1360667,1063,1049516
nation,Northern Ireland,N92000002,2023-04-17,3,1430316,3,1360666,0,1048453
nation,Northern Ireland,N92000002,2023-04-16,0,1430313,1,1360663,134,1048453
nation,Northern Ireland,N92000002,2023-04-15,8,1430315,14,1360662,735,1048319
nation,Northern Ireland,N92000002,2023-04-14,0,1430307,2,1360648,-7,1047584
nation,Northern Ireland,N92000002,2023-04-13,0,1430307,7,1360646,1085,1047591
nation,Northern Ireland,N92000002,2023-04-12,3,1430308,6,1360639,392,1046506
nation,Northern Ireland,N92000002,2023-04-11,0,1430305,0,1360633,0,1046114
nation,Northern Ireland,N92000002,2023-04-10,0,1430305,0,1360633,0,1046114
nation,Northern Ireland,N92000002,2023-04-09,0,1430305,1,1360633,-1,1046114
nation,Northern Ireland,N92000002,2023-04-08,1,1430305,4,1360632,0,1046115
nation,Northern Ireland,N92000002,2023-04-07,11,1430304,8,1360628,27,1046115
nation,Northern Ireland,N92000002,2023-04-06,5,1430293,7,1360620,76,1046088
nation,Northern Ireland,N92000002,2023-04-05,8,1430288,3,1360613,170,1046012
nation,Northern Ireland,N92000002,2023-04-04,2,1430280,3,1360610,6,1045842
nation,Northern Ireland,N92000002,2023-04-03,4,1430278,6,1360607,23,1045836
nation,Northern Ireland,N92000002,2023-04-02,1,1430274,4,1360601,0,1045813
nation,Northern Ireland,N92000002,2023-04-01,13,1430273,10,1360597,10,1045813
nation,Northern Ireland,N92000002,2023-03-31,4,1430260,1,1360587,-1,1045803
nation,Northern Ireland,N92000002,2023-03-30,0,1430256,5,1360586,-1,1045804
nation,Northern Ireland,N92000002,2023-03-29,1,1430256,2,1360581,3,1045805
nation,Northern Ireland,N92000002,2023-03-28,4,1430255,8,1360579,2,1045802
nation,Northern Ireland,N92000002,2023-03-27,4,1430251,5,1360571,1,1045800
nation,Northern Ireland,N92000002,2023-03-26,0,1430247,1,1360566,-9,1045799
nation,Northern Ireland,N92000002,2023-03-25,8,1430249,15,1360565,10,1045808
nation,Northern Ireland,N92000002,2023-03-24,1,1430241,10,1360550,3,1045798
nation,Northern Ireland,N92000002,2023-03-23,0,1430240,2,1360540,0,1045795
nation,Northern Ireland,N92000002,2023-03-22,6,1430240,11,1360538,54,1045795
nation,Northern Ireland,N92000002,2023-03-21,1,1430234,6,1360527,19,1045741
nation,Northern Ireland,N92000002,2023-03-20,5,1430233,11,1360521,-62,1045722
nation,Northern Ireland,N92000002,2023-03-19,5,1430228,14,1360510,91,1045784
nation,Northern Ireland,N92000002,2023-03-18,0,1430223,0,1360496,-104,1045693
nation,Northern Ireland,N92000002,2023-03-17,0,1430223,0,1360496,0,1045797
nation,Northern Ireland,N92000002,2023-03-16,0,1430223,2,1360496,0,1045797
nation,Northern Ireland,N92000002,2023-03-15,3,1430223,0,1360494,1,1045797
nation,Northern Ireland,N92000002,2023-03-14,2,1430220,9,1360494,0,1045796
nation,Northern Ireland,N92000002,2023-03-13,0,1430218,3,1360485,3,1045796
nation,Northern Ireland,N92000002,2023-03-12,0,1430219,2,1360482,1,1045793
nation,Northern Ireland,N92000002,2023-03-11,10,1430225,24,1360480,1,1045792
nation,Northern Ireland,N92000002,2023-03-10,0,1430215,0,1360456,0,1045791
nation,Northern Ireland,N92000002,2023-03-09,4,1430215,3,1360456,-1,1045791
nation,Northern Ireland,N92000002,2023-03-08,10,1430211,6,1360453,3,1045792
nation,Northern Ireland,N92000002,2023-03-07,6,1430201,9,1360447,0,1045789
nation,Northern Ireland,N92000002,2023-03-06,6,1430195,6,1360438,2,1045789
nation,Northern Ireland,N92000002,2023-03-05,3,1430189,0,1360432,1,1045787
nation,Northern Ireland,N92000002,2023-03-04,3,1430186,14,1360436,0,1045786
nation,Northern Ireland,N92000002,2023-03-03,0,1430183,2,1360422,0,1045786
nation,Northern Ireland,N92000002,2023-03-02,4,1430183,5,1360420,1,1045786
nation,Northern Ireland,N92000002,2023-03-01,6,1430179,9,1360415,2,1045785
nation,Northern Ireland,N92000002,2023-02-28,5,1430173,17,1360406,0,1045783
nation,Northern Ireland,N92000002,2023-02-27,1,1430168,2,1360389,0,1045783
nation,Northern Ireland,N92000002,2023-02-26,1,1430167,6,1360387,0,1045783
nation,Northern Ireland,N92000002,2023-02-25,3,1430166,15,1360381,0,1045783
nation,Northern Ireland,N92000002,2023-02-24,0,1430163,5,1360366,1,1045783
nation,Northern Ireland,N92000002,2023-02-23,2,1430163,3,1360361,0,1045782
nation,Northern Ireland,N92000002,2023-02-22,3,1430161,5,1360358,2,1045782
nation,Northern Ireland,N92000002,2023-02-21,2,1430158,2,1360353,-1,1045780
nation,Northern Ireland,N92000002,2023-02-20,3,1430156,8,1360351,1,1045781
nation,Northern Ireland,N92000002,2023-02-19,2,1430153,0,1360343,1,1045780
nation,Northern Ireland,N92000002,2023-02-18,11,1430151,19,1360346,0,1045779
nation,Northern Ireland,N92000002,2023-02-17,6,1430140,4,1360327,0,1045779
nation,Northern Ireland,N92000002,2023-02-16,5,1430134,9,1360323,1,1045779
nation,Northern Ireland,N92000002,2023-02-15,6,1430129,4,1360314,1,1045778
nation,Northern Ireland,N92000002,2023-02-14,6,1430123,3,1360310,2,1045777
nation,Northern Ireland,N92000002,2023-02-13,5,1430117,5,1360307,0,1045775
nation,Northern Ireland,N92000002,2023-02-12,6,1430112,2,1360302,-1,1045775
nation,Northern Ireland,N92000002,2023-02-11,12,1430106,18,1360300,0,1045776
nation,Northern Ireland,N92000002,2023-02-10,6,1430094,1,1360282,1,1045776
nation,Northern Ireland,N92000002,2023-02-09,5,1430088,6,1360281,0,1045775
nation,Northern Ireland,N92000002,2023-02-08,4,1430083,3,1360275,5,1045775
nation,Northern Ireland,N92000002,2023-02-07,6,1430079,3,1360272,1,1045770
nation,Northern Ireland,N92000002,2023-02-06,4,1430073,5,1360269,0,1045769
nation,Northern Ireland,N92000002,2023-02-05,0,1430069,0,1360264,-1,1045769
nation,Northern Ireland,N92000002,2023-02-04,15,1430073,115,1360358,0,1045770
nation,Northern Ireland,N92000002,2023-02-03,15,1430058,3,1360243,0,1045770
nation,Northern Ireland,N92000002,2023-02-02,11,1430043,4,1360240,0,1045770
nation,Northern Ireland,N92000002,2023-02-01,8,1430032,4,1360236,0,1045770
nation,Northern Ireland,N92000002,2023-01-31,8,1430024,16,1360232,1,1045770
nation,Northern Ireland,N92000002,2023-01-30,7,1430016,1,1360216,2,1045769
nation,Northern Ireland,N92000002,2023-01-29,4,1430009,6,1360215,1,1045767
nation,Northern Ireland,N92000002,2023-01-28,13,1430005,24,1360209,2,1045766
nation,Northern Ireland,N92000002,2023-01-27,9,1429992,4,1360185,3,1045764
nation,Northern Ireland,N92000002,2023-01-26,3,1429983,3,1360181,0,1045761
nation,Northern Ireland,N92000002,2023-01-25,8,1429980,8,1360178,0,1045761
nation,Northern Ireland,N92000002,2023-01-24,4,1429972,11,1360170,0,1045761
nation,Northern Ireland,N92000002,2023-01-23,3,1429968,6,1360159,2,1045761
nation,Northern Ireland,N92000002,2023-01-22,0,1429965,5,1360153,1,1045759
nation,Northern Ireland,N92000002,2023-01-21,19,1429967,34,1360148,0,1045758
nation,Northern Ireland,N92000002,2023-01-20,4,1429948,7,1360114,-1,1045758
nation,Northern Ireland,N92000002,2023-01-19,8,1429944,0,1360107,4,1045759
nation,Northern Ireland,N92000002,2023-01-18,0,1429936,0,1360107,0,1045755
nation,Northern Ireland,N92000002,2023-01-17,41,1429936,25,1360107,1,1045755
nation,Northern Ireland,N92000002,2023-01-16,5,1429895,6,1360082,3,1045754
nation,Northern Ireland,N92000002,2023-01-15,22,1429890,8,1360076,-1,1045751
nation,Northern Ireland,N92000002,2023-01-14,16,1429868,32,1360068,0,1045752
nation,Northern Ireland,N92000002,2023-01-13,19,1429852,17,1360036,11,1045752
nation,Northern Ireland,N92000002,2023-01-12,21,1429833,12,1360019,0,1045741
nation,Northern Ireland,N92000002,2023-01-11,51,1429812,29,1360007,1,1045741
nation,Northern Ireland,N92000002,2023-01-10,3,1429761,3,1359978,4,1045740
nation,Northern Ireland,N92000002,2023-01-09,0,1429758,3,1359975,15,1045736
nation,Northern Ireland,N92000002,2023-01-08,0,1429761,7,1359972,-1,1045721
nation,Northern Ireland,N92000002,2023-01-07,32,1429764,70,1359965,1,1045722
nation,Northern Ireland,N92000002,2023-01-06,0,1429732,0,1359895,-6,1045721
nation,Northern Ireland,N92000002,2023-01-05,0,1429794,4,1359922,10,1045727
nation,Northern Ireland,N92000002,2023-01-04,9,1429794,16,1359918,0,1045717
nation,Northern Ireland,N92000002,2023-01-03,7,1429785,9,1359902,-7,1045717
nation,Northern Ireland,N92000002,2023-01-02,0,1429778,0,1359893,10,1045724
nation,Northern Ireland,N92000002,2023-01-01,2,1429778,0,1359893,1,1045714
nation,Northern Ireland,N92000002,2022-12-31,0,1429776,0,1359896,0,1045713
nation,Northern Ireland,N92000002,2022-12-30,4,1429776,5,1359896,0,1045713
nation,Northern Ireland,N92000002,2022-12-29,3,1429772,5,1359891,1,1045713
nation,Northern Ireland,N92000002,2022-12-28,3,1429769,13,1359886,0,1045712
nation,Northern Ireland,N92000002,2022-12-27,0,1429766,0,1359873,0,1045712
nation,Northern Ireland,N92000002,2022-12-26,0,1429766,0,1359873,0,1045712
nation,Northern Ireland,N92000002,2022-12-25,0,1429766,1,1359873,-1,1045712
nation,Northern Ireland,N92000002,2022-12-24,0,1429768,0,1359872,0,1045713
nation,Northern Ireland,N92000002,2022-12-23,2,1429768,2,1359872,0,1045713
nation,Northern Ireland,N92000002,2022-12-22,2,1429766,5,1359870,0,1045713
nation,Northern Ireland,N92000002,2022-12-21,3,1429764,6,1359865,-1,1045713
nation,Northern Ireland,N92000002,2022-12-20,0,1429761,0,1359859,38,1045714
nation,Northern Ireland,N92000002,2022-12-19,1,1429775,4,1359893,1,1045676
nation,Northern Ireland,N92000002,2022-12-18,2,1429774,0,1359889,0,1045675
nation,Northern Ireland,N92000002,2022-12-17,12,1429772,26,1359889,0,1045675
nation,Northern Ireland,N92000002,2022-12-16,0,1429760,0,1359863,9,1045675
nation,Northern Ireland,N92000002,2022-12-15,2,1429762,0,1359863,6,1045666
nation,Northern Ireland,N92000002,2022-12-14,7,1429760,25,1359864,0,1045660
nation,Northern Ireland,N92000002,2022-12-13,13,1429753,11,1359839,3,1045660
nation,Northern Ireland,N92000002,2022-12-12,1,1429740,0,1359828,12,1045657
nation,Northern Ireland,N92000002,2022-12-11,0,1429739,1,1359834,-4,1045645
nation,Northern Ireland,N92000002,2022-12-10,0,1429743,1516,1359833,-1140,1045649
nation,Northern Ireland,N92000002,2022-12-09,0,1430125,0,1358317,0,1046789
nation,Northern Ireland,N92000002,2022-12-08,0,1430125,92,1358317,-82,1046789
nation,Northern Ireland,N92000002,2022-12-07,6,1430126,6,1358225,-1,1046871
nation,Northern Ireland,N92000002,2022-12-06,26,1430120,60,1358219,17,1046872
nation,Northern Ireland,N92000002,2022-12-05,0,1430094,0,1358159,0,1046855
nation,Northern Ireland,N92000002,2022-12-04,0,1430094,0,1358159,0,1046855
nation,Northern Ireland,N92000002,2022-12-03,0,1430094,0,1358159,0,1046855
nation,Northern Ireland,N92000002,2022-12-02,0,1430094,0,1358159,0,1046855
nation,Northern Ireland,N92000002,2022-12-01,3,1430094,17,1358159,6,1046855
nation,Northern Ireland,N92000002,2022-11-30,3,1430091,12,1358142,1,1046849
nation,Northern Ireland,N92000002,2022-11-29,0,1430088,5,1358130,1,1046848
nation,Northern Ireland,N92000002,2022-11-28,0,1430088,6,1358125,0,1046847
nation,Northern Ireland,N92000002,2022-11-27,14,1430088,40,1358119,1,1046847
nation,Northern Ireland,N92000002,2022-11-26,7,1430074,21,1358079,24,1046846
nation,Northern Ireland,N92000002,2022-11-25,4,1430067,7,1358058,1,1046822
nation,Northern Ireland,N92000002,2022-11-24,0,1430063,0,1358051,0,1046821
nation,Northern Ireland,N92000002,2022-11-23,0,1430063,7,1358051,0,1046821
nation,Northern Ireland,N92000002,2022-11-22,3,1430072,4,1358044,5,1046821
nation,Northern Ireland,N92000002,2022-11-21,16,1430069,14,1358040,5,1046816
nation,Northern Ireland,N92000002,2022-11-20,14,1430053,13,1358026,-3,1046811
nation,Northern Ireland,N92000002,2022-11-19,17,1430039,37,1358013,1,1046814
nation,Northern Ireland,N92000002,2022-11-18,119,1430022,79,1357976,66,1046813
nation,Northern Ireland,N92000002,2022-11-17,0,1429903,0,1357897,0,1046747
nation,Northern Ireland,N92000002,2022-11-16,55,1429903,24,1357897,4,1046747
nation,Northern Ireland,N92000002,2022-11-15,5,1429848,6,1357873,1,1046743
nation,Northern Ireland,N92000002,2022-11-14,0,1429843,0,1357867,8,1046742
nation,Northern Ireland,N92000002,2022-11-13,1,1429860,2,1357867,1,1046734
nation,Northern Ireland,N92000002,2022-11-12,20,1429859,72,1357865,11,1046733
nation,Northern Ireland,N92000002,2022-11-11,1,1429839,4,1357793,0,1046722
nation,Northern Ireland,N92000002,2022-11-10,4,1429838,11,1357789,2,1046722
nation,Northern Ireland,N92000002,2022-11-09,8,1429834,25,1357778,-1,1046720
