areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
nation,Scotland,S92000003,2022-09-11,83,4549556,286,4285946,,
nation,Scotland,S92000003,2022-09-10,77,4549473,305,4285660,,
nation,Scotland,S92000003,2022-09-09,66,4549396,150,4285355,,
nation,Scotland,S92000003,2022-09-08,182,4549330,431,4285205,,
nation,Scotland,S92000003,2022-09-07,0,4549148,0,4284774,,
nation,Scotland,S92000003,2022-09-06,0,4549148,0,4284774,,
nation,Scotland,S92000003,2022-09-05,64,4549148,142,4284774,,
nation,Scotland,S92000003,2022-09-04,92,4549084,562,4284632,146,3594835
nation,Scotland,S92000003,2022-09-03,310,4548992,1518,4284070,208,3594689
nation,Scotland,S92000003,2022-09-02,100,4548682,179,4282552,270,3594481
nation,Scotland,S92000003,2022-09-01,118,4548582,241,4282373,346,3594211
nation,Scotland,S92000003,2022-08-31,58,4548464,284,4282132,297,3593865
nation,Scotland,S92000003,2022-08-30,45,4548406,161,4281848,227,3593568
nation,Scotland,S92000003,2022-08-29,69,4548361,177,4281687,256,3593341
nation,Scotland,S92000003,2022-08-28,194,4548292,626,4281510,260,3593085
nation,Scotland,S92000003,2022-08-27,288,4548098,1432,4280884,278,3592825
nation,Scotland,S92000003,2022-08-26,101,4547810,207,4279452,247,3592547
nation,Scotland,S92000003,2022-08-25,74,4547709,174,4279245,261,3592300
nation,Scotland,S92000003,2022-08-24,66,4547635,144,4279071,207,3592039
nation,Scotland,S92000003,2022-08-23,60,4547569,158,4278927,275,3591832
nation,Scotland,S92000003,2022-08-22,133,4547509,373,4278769,372,3591557
nation,Scotland,S92000003,2022-08-21,140,4547376,633,4278396,219,3591185
nation,Scotland,S92000003,2022-08-20,408,4547236,1508,4277763,317,3590966
nation,Scotland,S92000003,2022-08-19,132,4546828,246,4276255,344,3590649
nation,Scotland,S92000003,2022-08-18,113,4546696,412,4276009,193,3590305
nation,Scotland,S92000003,2022-08-17,60,4546583,197,4275597,220,3590112
nation,Scotland,S92000003,2022-08-16,90,4546523,295,4275400,304,3589892
nation,Scotland,S92000003,2022-08-15,250,4546433,330,4275105,321,3589588
nation,Scotland,S92000003,2022-08-14,127,4546183,406,4274775,208,3589267
nation,Scotland,S92000003,2022-08-13,422,4546056,1405,4274369,240,3589059
nation,Scotland,S92000003,2022-08-12,125,4545634,294,4272964,282,3588819
nation,Scotland,S92000003,2022-08-11,280,4545509,780,4272670,542,3588537
nation,Scotland,S92000003,2022-08-10,82,4545229,314,4271890,64,3587995
nation,Scotland,S92000003,2022-08-09,129,4545147,592,4271576,64,3587931
nation,Scotland,S92000003,2022-08-08,125,4545018,530,4270984,204,3587867
nation,Scotland,S92000003,2022-08-07,131,4544893,564,4270454,209,3587663
nation,Scotland,S92000003,2022-08-06,376,4544762,1282,4269890,271,3587454
nation,Scotland,S92000003,2022-08-05,204,4544386,687,4268608,288,3587183
nation,Scotland,S92000003,2022-08-04,219,4544182,667,4267921,245,3586895
nation,Scotland,S92000003,2022-08-03,182,4543963,360,4267254,366,3586650
nation,Scotland,S92000003,2022-08-02,144,4543781,301,4266894,310,3586284
nation,Scotland,S92000003,2022-08-01,174,4543637,421,4266593,400,3585974
nation,Scotland,S92000003,2022-07-31,220,4543463,486,4266172,294,3585574
nation,Scotland,S92000003,2022-07-30,432,4543243,1253,4265686,283,3585280
nation,Scotland,S92000003,2022-07-29,213,4542811,934,4264433,351,3584997
nation,Scotland,S92000003,2022-07-28,149,4542598,362,4263499,456,3584646
nation,Scotland,S92000003,2022-07-27,191,4542449,401,4263137,369,3584190
nation,Scotland,S92000003,2022-07-26,124,4542258,295,4262736,388,3583821
nation,Scotland,S92000003,2022-07-25,143,4542134,545,4262441,492,3583433
nation,Scotland,S92000003,2022-07-24,174,4541991,654,4261896,354,3582941
nation,Scotland,S92000003,2022-07-23,501,4541817,1368,4261242,394,3582587
nation,Scotland,S92000003,2022-07-22,268,4541316,1417,4259874,422,3582193
nation,Scotland,S92000003,2022-07-21,156,4541048,477,4258457,507,3581771
nation,Scotland,S92000003,2022-07-20,166,4540892,405,4257980,375,3581264
nation,Scotland,S92000003,2022-07-19,80,4540726,302,4257575,314,3580889
nation,Scotland,S92000003,2022-07-18,182,4540646,452,4257273,365,3580575
nation,Scotland,S92000003,2022-07-17,128,4540464,413,4256821,262,3580210
nation,Scotland,S92000003,2022-07-16,623,4540336,1499,4256408,334,3579948
nation,Scotland,S92000003,2022-07-15,143,4539713,639,4254909,499,3579614
nation,Scotland,S92000003,2022-07-14,208,4539570,775,4254270,582,3579115
nation,Scotland,S92000003,2022-07-13,185,4539362,578,4253495,444,3578533
nation,Scotland,S92000003,2022-07-12,177,4539177,585,4252917,481,3578089
nation,Scotland,S92000003,2022-07-11,219,4539000,537,4252332,395,3577608
nation,Scotland,S92000003,2022-07-10,261,4538781,943,4251795,334,3577213
nation,Scotland,S92000003,2022-07-09,712,4538520,2042,4250852,303,3576879
nation,Scotland,S92000003,2022-07-08,283,4537808,948,4248810,387,3576576
nation,Scotland,S92000003,2022-07-07,436,4537525,1260,4247862,563,3576189
nation,Scotland,S92000003,2022-07-06,300,4537089,926,4246602,478,3575626
nation,Scotland,S92000003,2022-07-05,222,4536789,891,4245676,479,3575148
nation,Scotland,S92000003,2022-07-04,724,4536567,1403,4244785,669,3574669
nation,Scotland,S92000003,2022-07-03,560,4535843,1601,4243382,595,3574000
nation,Scotland,S92000003,2022-07-02,159,4535283,523,4241781,99,3573405
nation,Scotland,S92000003,2022-07-01,167,4535124,737,4241258,608,3573306
nation,Scotland,S92000003,2022-06-30,266,4534957,1304,4240521,717,3572698
nation,Scotland,S92000003,2022-06-29,176,4534691,894,4239217,581,3571981
nation,Scotland,S92000003,2022-06-28,177,4534515,964,4238323,608,3571400
nation,Scotland,S92000003,2022-06-27,234,4534338,1228,4237359,694,3570792
nation,Scotland,S92000003,2022-06-26,571,4534104,2664,4236131,489,3570098
nation,Scotland,S92000003,2022-06-25,1062,4533533,3189,4233467,519,3569609
nation,Scotland,S92000003,2022-06-24,297,4532471,622,4230278,631,3569090
nation,Scotland,S92000003,2022-06-23,219,4532174,726,4229656,615,3568459
nation,Scotland,S92000003,2022-06-22,171,4531955,479,4228930,636,3567844
nation,Scotland,S92000003,2022-06-21,153,4531784,477,4228451,524,3567208
nation,Scotland,S92000003,2022-06-20,238,4531631,623,4227974,719,3566684
nation,Scotland,S92000003,2022-06-19,1150,4531393,2449,4227351,692,3565965
nation,Scotland,S92000003,2022-06-18,1569,4530243,2102,4224902,506,3565273
