areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate
nation,Wales,W92000004,2023-03-29,35,2592226,18,2477109,48,2078835
nation,Wales,W92000004,2023-03-28,53,2592191,13,2477091,38,2078787
nation,Wales,W92000004,2023-03-27,52,2592138,12,2477078,123,2078749
nation,Wales,W92000004,2023-03-26,5,2592086,2,2477066,0,2078626
nation,Wales,W92000004,2023-03-25,7,2592081,29,2477064,55,2078626
nation,Wales,W92000004,2023-03-24,63,2592074,20,2477035,181,2078571
nation,Wales,W92000004,2023-03-23,0,2592011,6,2477015,150,2078390
nation,Wales,W92000004,2023-03-22,59,2592017,20,2477009,111,2078240
nation,Wales,W92000004,2023-03-21,35,2591958,23,2476989,67,2078129
nation,Wales,W92000004,2023-03-20,48,2591923,13,2476966,53,2078062
nation,Wales,W92000004,2023-03-19,5,2591875,10,2476953,2,2078009
nation,Wales,W92000004,2023-03-18,15,2591870,73,2476943,30,2078007
nation,Wales,W92000004,2023-03-17,60,2591855,12,2476870,93,2077977
nation,Wales,W92000004,2023-03-16,0,2591795,0,2476858,-77,2077884
nation,Wales,W92000004,2023-03-15,39,2591828,0,2476887,78,2077961
nation,Wales,W92000004,2023-03-14,49,2591789,25,2476887,41,2077883
nation,Wales,W92000004,2023-03-13,38,2591740,92,2476862,66,2077842
nation,Wales,W92000004,2023-03-12,8,2591702,43,2476770,2,2077776
nation,Wales,W92000004,2023-03-11,15,2591694,46,2476727,86,2077774
nation,Wales,W92000004,2023-03-10,10,2591679,9,2476681,193,2077688
nation,Wales,W92000004,2023-03-09,0,2591669,12,2476672,223,2077495
nation,Wales,W92000004,2023-03-08,12,2591702,27,2476660,74,2077272
nation,Wales,W92000004,2023-03-07,11,2591690,62,2476633,60,2077198
nation,Wales,W92000004,2023-03-06,7,2591679,122,2476571,62,2077138
nation,Wales,W92000004,2023-03-05,6,2591672,20,2476449,5,2077076
nation,Wales,W92000004,2023-03-04,21,2591666,33,2476429,26,2077071
nation,Wales,W92000004,2023-03-03,8,2591645,4,2476396,15,2077045
nation,Wales,W92000004,2023-03-02,0,2591637,60,2476392,26,2077030
nation,Wales,W92000004,2023-03-01,8,2591661,105,2476332,7,2077004
nation,Wales,W92000004,2023-02-28,11,2591653,51,2476227,4,2076997
